Reactant SMILES,Metal
C/C(=C\c1ccc(Br)cc1)C(=O)O,Ir
C/C(=C\c1ccc(C(F)(F)F)cc1)C(=O)O,Ir
C/C(=C\c1ccc2ccccc2c1)C(=O)O,Ir
C/C(=C\c1ccco1)C(=O)O,Ir
CC(C)/C(=C\c1ccccc1)C(=O)O,Ir
O=C(O)/C(=C/c1ccccc1)c1ccccc1,Ir
C/C=C(\C)C(=O)O,Ir
CC/C=C(\C)C(=O)O,Ir
CCC/C=C(\C)C(=O)O,Ir
C/C(=C\CC(C)C)C(=O)O,Ir
CCC/C=C(\CC)C(=O)O,Ir
C/C=C(\CCC)C(=O)O,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CN1CCC=C1c1ccccc1,Ir
CCN1CCC=C1c1ccccc1,Ir
CC(C)N1CCC=C1c1ccccc1,Ir
Cc1ccc(C2=CCCN2C)cc1,Ir
COc1ccc(C2=CCCN2C)cc1,Ir
CN1CCC=C1c1ccc(F)cc1,Ir
CN1CCC=C1c1ccc(Cl)cc1,Ir
CN1CCC=C1c1ccc(Br)cc1,Ir
Cc1cccc(C2=CCCN2C)c1,Ir
COc1cccc(C2=CCCN2C)c1,Ir
CN1CCC=C1c1cccc(F)c1,Ir
Cc1ccccc1C1=CCCN1C,Ir
CN1CCC=C1c1ccccc1Cl,Ir
CCN1CCC=C1c1ccc(OC)cc1,Ir
CCN1CCC=C1c1ccc(F)cc1,Ir
CCN1CCC=C1c1ccc(Cl)cc1,Ir
CCN1CCC=C1c1ccc(Br)cc1,Ir
CCCCC1=CCCN1C,Ir
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
COC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CCOC(=O)/C=C(\C)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
CC/C(=C\C(=O)OC)NC(C)=O,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)C,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
CCC/C(=C\C(=O)OCC)NC(C)=O,Ru
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,Ru
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,Ru
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
